"StedID","Stedtekst","Vandområde","Dato","Medie","Prøvetype","Dybde (m)","Målested, x-koordinat","Målested, y-koordinat","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
18000017,"KLEJTRUP SØ - vandkemi","Klejtrup Sø","01.03.1979 12.00.00 +01:00","Sø","Enkeltprøve",2,539808.9999666517,6272673.003530203,"2","Total","Chlorophyl (ukorrigeret)"," =",0,"µg/l",9999999,NA,2
21000338,"ØRNSØ  - vandkemi","Ørnsø","28.07.1998 12.00.00 +02:00","Sø","Blandingsprøve",1.1,532480.9999727111,6223358.003600268,"1,1","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.021,"mg/l",9999999,NA,2
34000012,"Skærsø - vandkemi","Skærsø","03.11.1994 12.00.00 +01:00","Sø","Blandingsprøve",1.4666666666666666,517418.9999853268,6159693.003688109,"1,4; 0,2; 2,8","Total","Suspenderede stoffer"," =",7.4,"mg/l",9999999,NA,2
21000355,"RAVNSØ, MIDT -- RAV1 - vandkemi","Ravnsø","10.05.1995 12.00.00 +02:00","Sø","Enkeltprøve",20,552518.9999558639,6218243.003607626,"20","Opløst - filtrat fra filtrering","Silicium"," =",0.11,"mg/l",9999999,NA,2
18000028,"FUSSING SØ MIDT ","Fussing Sø","09.07.2012 12.00.00 +02:00","Sø","Blandingsprøve",3.05,553786.9999549013,6258768.003550291,"0,2; 4; 2; 6","Total","Konduktivitet"," =",35.7,"mS/m",9999999,NA,2
47000024,"Sortesø /001, Fyn","Sorte Sø","02.05.2005 12.00.00 +02:00","Sø","Enkeltprøve",3.5,583514.9999295654,6108993.003756486,"3,5","Total","Phosphor, total-P"," =",0.16,"mg/l",9999999,NA,2
13000003,"SJØRUP SØ - vandkemi","St. sjørup Sø","06.08.1980 12.00.00 +02:00","Sø","Enkeltprøve",5.5,524224.9999797506,6302796.0034864405,"5,5","Opløst - filtrat fra filtrering","Silicium"," =",1.7,"mg/l",9999999,NA,2
45000018,"Arreskov Sø /004","Arreskov Sø","29.06.1994 12.00.00 +02:00","Sø","Enkeltprøve",0.2,583298.9999297527,6113387.003750695,"0,2","Total","Oxygen indhold"," =",8.8,"mg/l",9999999,NA,2
21000355,"RAVNSØ, MIDT -- RAV1 - vandkemi","Ravnsø","23.09.2009 12.00.00 +02:00","Sø","Blandingsprøve",5.033333333333333,552518.9999558639,6218243.003607626,"0,2; 2; 4; 6; 8; 10","Total","Suspenderede stoffer"," =",2,"mg/l",9999999,NA,3
25000107,"SØNDERDYB, VEST STADIL FJORD, Vandkemi","Sønderdyb, Vest Stadil Fjord","10.06.2013 12.00.00 +02:00","Sø","Enkeltprøve",0.2,446865.0000446349,6226517.003596017,"0,2","Total","Suspenderede stoffer"," =",63,"mg/l",0.5,NA,3
1000035,"NORS SØ - vandkemi","Norssø","03.04.2002 12.00.00 +02:00","Sø","Blandingsprøve",4.6,476319.00001976633,6320842.003460006,"0,2; 1,8; 3,5; 5,1; 6,8; 10,2","Total","Ammoniak+ammonium-N"," =",0.013000000617466869,"mg/l",9999999,NA,2
1000197,"Ålvand 3 - vandkemi","Ålvand 3","01.08.2018 12.00.00 +02:00","Sø","Enkeltprøve",0.2,465129.00002912834,6311747.00347343,"0,2","Total","Phosphor, total-P"," =",0.26,"mg/l",0.003,NA,3
1000027,"VANDET SØ - vandkemi","Vester Vandetsø","05.02.1998 12.00.00 +01:00","Sø","Blandingsprøve",6.266666666666667,473039.0000225075,6319052.0034626555,"6,2; 12,4; 0,2","Total","Alkalinitet,total TA"," =",1.8,"mmol/l",9999999,NA,2
46000010,"SØHOLM SØ /001","Søholm Sø","23.07.1997 12.00.00 +02:00","Sø","Enkeltprøve",11.5,571862.9999394091,6125861.003734028,"11,5","Total","Ammoniak+ammonium-N"," =",1.36,"mg/l",9999999,NA,2
50000121,"LØGSØ AMT ST","Løgsø","14.09.2023 12.00.00 +02:00","Sø","Blandingsprøve",0.95,717908.9998150945,6192954.003626581,"0,2; 1,7","Partikelbundet - fra filteret","Suspenderede stoffer"," =",5,"mg/l",1,NA,2
21000320,"SØBYGÅRD SØ - vandkemi","Søbygårdsø","06.06.1978 12.00.00 +01:00","Sø","Enkeltprøve",0.5,550065.999957962,6234790.0035843225,"0,5","Ej oplyst","Nitrogen,total N"," =",4,"mg/l",9999999,NA,2
18000017,"KLEJTRUP SØ - vandkemi","Klejtrup Sø","10.04.2001 12.00.00 +02:00","Sø","Blandingsprøve",0.7,539808.9999666517,6272673.003530203,"1,2; 0,2","Total","Chlorophyl (ukorrigeret)"," =",25,"µg/l",9999999,NA,2
25000059,"SØBY SØ, MIDTJYLLAND, Vandkemi","Søby Sø, midtjylland","11.07.1978 12.00.00 +01:00","Sø","Enkeltprøve",0.5,504514.99999620474,6211704.003616475,"0,5","Total","Chlorophyl A"," =",0,"µg/l",9999999,NA,2
46000011,"SARUP SØ ST AMT","Sarup Sø","25.08.1987 12.00.00 +02:00","Sø","Enkeltprøve",2.8,567953.9999426954,6118169.003744182,"2,8","Total","Oxygenmætning"," =",32,"pct",9999999,NA,2
42000898,"Råkær Grusgravsø - Vest - vandkemi","Råkær Grusgrav - Vest","08.07.2021 12.00.00 +02:00","Sø","Enkeltprøve",11.5,521715.99998167984,6091576.003776418,"11,5","Total","Phosphor, total-P"," =",0.026,"mg/l",0.003,NA,2
31000009,"Kvie Sø - vandkemi","Kvie Sø","02.04.2009 12.00.00 +02:00","Sø","Blandingsprøve",1,485559.0000121582,6175543.003666495,"1,8; 0,2","Total","Phosphor, total-P"," =",0.089,"mg/l",9999999,NA,3
62000009,"VESTERBORG SØ, kemi","Vesterborg Sø","20.06.2006 12.00.00 +02:00","Sø","Blandingsprøve",0.6666666666666666,645923.9998770257,6082133.003791499,"0,6; 1,2; 0,2","Total","Phosphor, total-P"," =",0.015,"mg/l",9999999,NA,2
23000160,"FJELLERUPMARK MOSE, MIDT","Fjellerupmark mose","08.10.1998 12.00.00 +02:00","Sø","Enkeltprøve",0.2,597486.9999182797,6260623.00354823,"0,2","Ej oplyst","Farvetal-Pt"," =",320,"mg Pt/l",9999999,NA,2
26000061,"Stilling Solbjerg Sø, SYD FOR KOLLEN","Stilling-solbjerg Sø","12.11.2003 12.00.00 +01:00","Sø","Blandingsprøve",1.1,565080.9999452933,6213111.003614955,"1,1","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",0.11,"mg/l",9999999,NA,2
37000030,"Vedsted Sø - vandkemi","Vedsted Sø","18.09.2023 12.00.00 +02:00","Sø","Blandingsprøve",2.066666666666667,523232.9999804073,6116144.003744151,"0,2; 2; 4","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.002,"mg/l",0.001,NA,2
42000010,"Store Søgård Sø - vandkemi","Store Søgård Sø","10.06.2013 12.00.00 +02:00","Sø","Blandingsprøve",1.0666666666666669,528586.9999758821,6087722.003783735,"2; 0,2; 1","Total","Nitrogen,total N"," =",2.9264595032,"mg/l",0.05,NA,3
21000258,"HINGE SØ - vandkemi","Hinge Sø","11.03.2002 12.00.00 +01:00","Sø","Blandingsprøve",1.1166666666666667,531018.9999739552,6234743.003584217,"1,05; 2,1; 0,2","Total","Nitrogen,total N"," =",4.2000001994892955,"mg/l",9999999,NA,2
21000265,"HALD SØ ST.3","Hald Sø","06.07.1995 12.00.00 +02:00","Sø","Enkeltprøve",8,521058.999982333,6249273.003563561,"8","Total","Nitrogen,total N"," =",2.5000001187436283,"mg/l",9999999,NA,2
