"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"VOMME SØ ST 2 AMT","04.10.1995 12.00.00 +01:00","Vandløb",1,603570,6133607,"Oxygen indhold"," =",10.6,"mg/l",2
"TRYGGELEV NOR VEST MC ST 2","05.04.2004 12.00.00 +02:00","Vandløb",2.9,606770,6073340,"Oxygen indhold"," =",12.6,"mg/l",2
"KULSØ, NØRRE SNEDE, Vandkemi","13.07.2011 12.00.00 +02:00","Vandløb",2,520106,6198657,"Oxygenmætning"," =",103.5,"pct",2
"BRYRUP LANGSØ,  BRY 1","27.02.2025 12.00.00 +01:00","Vandløb",0.2,532693.0084237793,6208261.925750032,"Oxygen indhold","",10.81,"mg/l",2
"NORS SØ - vandkemi","15.07.2024 12.00.00 +02:00","Vandløb",15.96,476200.98624243616,6320964.953877215,"Oxygenmætning","",65.44,"pct",2
"VESTERBORG SØ, kemi","23.09.2025 12.00.00 +02:00","Vandløb",0.97,645924.0446336579,6082133.085050436,"Oxygenmætning","",86.5,"pct",2
"SØLLERØD SØ, kemi","11.11.2002 12.00.00 +01:00","Vandløb",8,718410,6190956,"Oxygenmætning"," =",59.9,"pct",2
"Store Søgård Sø - vandkemi","02.08.2018 12.00.00 +02:00","Vandløb",2,528587,6087722,"Oxygen indhold"," =",8.8,"mg/l",3
"BAGSVÆRD SØ, kemi","19.03.2003 12.00.00 +01:00","Vandløb",2,717383,6185871,"Oxygenmætning"," =",110,"pct",2
"SNABE IGELSØ, MIDT","27.07.2005 12.00.00 +02:00","Vandløb",7,529369,6209993,"Oxygen indhold"," =",0.3,"mg/l",2
"KORNERUP SØ, kemi","30.08.2024 12.00.00 +02:00","Vandløb",1.99,687852.0325445592,6168863.929682018,"Oxygen indhold","",3.7101,"mg/l",2
"AKSELVED MOSE, AMT ST","15.06.1995 12.00.00 +02:00","Vandløb",1,690909,6123100,"Oxygen indhold"," =",8.1,"mg/l",2
"NEDENSKOV SØ","01.06.2016 12.00.00 +02:00","Vandløb",0.98,542455,6207373,"Oxygen indhold"," =",9.7,"mg/l",3
"Kastelsgraven, vestlige del","31.10.2013 12.00.00 +01:00","Vandløb",0.2,725755,6177490,"Oxygenmætning"," =",95,"pct",1
"SØBY SØ, MIDTJYLLAND, Vandkemi","11.12.2008 12.00.00 +01:00","Vandløb",0.78,504515,6211704,"Oxygenmætning"," =",86,"pct",2
"FURESØ, kemi","11.08.1977 12.00.00 +01:00","Vandløb",30,714084,6189179,"Oxygenmætning"," =",7,"pct",2
"HVIDKILDE SØ /001","25.07.1991 12.00.00 +02:00","Vandløb",1.5,597396,6103326,"Oxygen indhold"," =",13.8,"mg/l",2
"STEVNING DAM 2","22.08.1990 12.00.00 +02:00","Vandløb",0.2,522937,6122084,"Oxygen indhold"," =",14.9,"mg/l",2
"Stilling Solbjerg Sø, SYD FOR KOLLEN","27.06.2023 12.00.00 +02:00","Vandløb",8.47,565080.0468364003,6213115.963554039,"Oxygenmætning","",48.1868,"pct",2
"GAMBORG INDREFJORD AMT ST","30.04.2001 12.00.00 +02:00","Vandløb",0.4,550992,6145697,"Oxygenmætning"," =",125,"pct",2
"SANKT JØRGENSSØ SYD-BAS, kemi","24.02.2022 12.00.00 +01:00","Vandløb",3.77,723665.9767442251,6175815.95781014,"Oxygenmætning","",100.7204,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","16.06.1999 12.00.00 +02:00","Vandløb",20,552519,6218243,"Oxygen indhold"," =",9.5,"mg/l",2
"KARLSØ, MIDT - vandkemi","14.12.2005 12.00.00 +01:00","Vandløb",1,533994,6207563,"Oxygen indhold"," =",10.8,"mg/l",2
"DØJ SØ AMT ST","13.07.1995 12.00.00 +02:00","Vandløb",0.2,556539,6209723,"Oxygen indhold"," =",8.7,"mg/l",2
"SORTEDAMSSØ NORD-BAS, kemi","07.07.2015 12.00.00 +02:00","Vandløb",1.5,724716,6177956,"Oxygen indhold"," =",7.6,"mg/l",2
"HALD SØ, Vandkemi","22.08.2011 12.00.00 +02:00","Vandløb",22.79,520999,6247723,"Oxygen indhold"," =",2.7,"mg/l",2
"SARUP SØ ST AMT","25.06.1992 12.00.00 +02:00","Vandløb",2.5,567954,6118169,"Oxygen indhold"," =",7.1,"mg/l",2
"KNUD SØ, ØST - Kemistation","13.07.2016 12.00.00 +02:00","Vandløb",18,547982,6217718,"Oxygen indhold"," =",4.8,"mg/l",3
"Torup Sø, Iltstation 2.1","28.06.2004 12.00.00 +02:00","Vandløb",0.23,526852,6207936,"Oxygen indhold"," =",8.9,"mg/l",2
"SAKSKØBING ANLÆG AMT ST","12.09.2002 12.00.00 +02:00","Vandløb",3,669912,6074924,"Oxygenmætning"," =",8,"pct",2
"BROMME LILLESØ, kemi","20.08.2019 12.00.00 +02:00","Vandløb",0.23,658919,6151194,"Oxygen indhold"," =",9.81,"mg/l",3
"HINGE SØ - vandkemi","11.12.2007 12.00.00 +01:00","Vandløb",0.6,531019,6234743,"Oxygenmætning"," =",91,"pct",2
"Skærsø - vandkemi","14.06.2000 12.00.00 +02:00","Vandløb",1.01,517419,6159693,"Oxygen indhold"," =",8.4,"mg/l",2
