"StedID","Stedtekst","Medie","Vandområde","Dato","Prøvetype","Målested, x-koordinat","Målested, y-koordinat","Dybde (m)","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
96600005,"6500053","Marin","Langelandssundet","25.11.2013 12.00.00 +01:00","Enkeltprøve",615068.299634746,6103608.299638741,11.4,"11,4","Opløst - filtrat fra filtrering","Silicium"," =",360,"µg/l",9999999,NA,3
94330002,"Husodde","Marin","Husodde","27.11.1996 12.00.00 +01:00","Enkeltprøve",556799.1735187235,6189837.158004745,1,"1","Ej oplyst","Siliciumdioxid"," =",1800,"µg/l",9999999,NA,2
96220078,"Sømærke SSØ for Skraverup","Marin","Karrebæk Fjord","27.03.1985 12.00.00 +01:00","Enkeltprøve",671371.4898750362,6120711.867622046,0.5,"0,5","Partikelbundet - fra filteret","Chlorophyl A"," =",6.75,"µg/l",9999999,NA,2
96600001,"6500002","Marin","Langelandssundet","22.05.1997 12.00.00 +02:00","Enkeltprøve",609523.5743355782,6094647.791837893,8.1,"8,1","Ej oplyst","Oxygen indhold"," =",9.5,"mg/l",9999999,NA,2
94400007,"ARH170006","Marin","Aarhus Bugt","02.03.2017 12.00.00 +01:00","Enkeltprøve",581918.3029427791,6224065.752405027,15.4,"15,4","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",1.13,"µg/l",9999999,NA,3
93730002,"VIB3708-00001","Marin","Løgstør-Livø Bredning","19.12.2007 12.00.00 +01:00","Enkeltprøve",503781.2049357051,6312230.08604271,1,"1","Ej oplyst","Chlorophyl (ukorrigeret)"," =",2.3,"µg/l",9999999,NA,2
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","12.02.1979 12.00.00 +01:00","Enkeltprøve",734621.8290305485,6197599.183219807,13,"13","Total","Oxygen indhold"," =",11.771428571,"mg/l",9999999,NA,2
94400007,"ARH170006","Marin","Aarhus Bugt","10.07.2000 12.00.00 +02:00","Enkeltprøve",581992.2623172564,6224152.445677219,1,"1","Ej oplyst","Oxygen indhold"," =",8.4,"mg/l",9999999,NA,2
93220004,"322 Roskilde Fjord","Marin","Frederiksværk Bredning","08.12.1998 12.00.00 +01:00","Enkeltprøve",688892.6812603791,6201824.818411441,1,"1","Ej oplyst","Nitrogen,total N"," =",700,"µg/l",9999999,NA,2
93740013,"Lovns Bredning","Marin","Lovns Bredning","12.09.1990 12.00.00 +02:00","Enkeltprøve",518310.6030727835,6274385.100569677,0.2,"0,2","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",140,"µg/l",9999999,NA,2
95340006,"Hejls Nor","Marin","Hejls Nor","04.05.2015 12.00.00 +02:00","Enkeltprøve",537218.7277951809,6135757.485575454,1,"1","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",150,"µg/l",9999999,NA,3
93740011,"Lovns Bredning","Marin","Lovns Bredning","16.08.2004 12.00.00 +02:00","Enkeltprøve",514957.0429421863,6279659.072212481,4.8,"4,8","Total","Suspenderede stoffer"," =",11,"mg/l",9999999,NA,2
94230001,"ODF17","Marin","Odense Fjord, ydre del","24.01.2011 12.00.00 +01:00","Enkeltprøve",595941.6943060372,6149065.515149628,9,"9","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",60,"µg/l",9999999,NA,3
94220007,"6940622","Marin","Farvandet Nord for gabet","26.02.1996 12.00.00 +01:00","Enkeltprøve",596524.3116014502,6162929.447012975,1,"1","Ej oplyst","Nitrogen,total N"," =",351,"µg/l",9999999,NA,2
