"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"FUSSING SØ Ø FOR TRÆDEPONI","02.06.1982 12.00.00 +02:00","Sø",2,552368,6259201,"Oxygen indhold"," =",8.5,"mg/l",2
"TRYGGELEV NOR VEST MC ST 2","22.03.2006 12.00.00 +01:00","Sø",1.6,606770,6073340,"Oxygenmætning"," =",120,"pct",2
"VEJLESØ, MIDT","16.09.1991 12.00.00 +02:00","Sø",5,717014,6190183,"Oxygenmætning"," =",0.1,"pct",2
"FURESØ, kemi","01.04.1993 12.00.00 +02:00","Sø",23.26,714084,6189179,"Oxygen indhold"," =",13.6,"mg/l",2
"Dons Nørresø - vandkemi","13.10.1993 12.00.00 +01:00","Sø",1,526783,6156900,"Oxygen indhold"," =",9.8,"mg/l",2
"HJULBY SØ AMTST.1","15.06.2011 12.00.00 +02:00","Sø",0.2,610959,6132589,"Oxygen indhold"," =",8.4,"mg/l",2
"ARRESØ, kemi","06.10.1998 12.00.00 +02:00","Sø",3,693898,6209574,"Oxygen indhold"," =",11.5,"mg/l",2
"FURESØEN STOREKALV AMT ST","01.06.1995 12.00.00 +02:00","Sø",0.2,715762,6190674,"Oxygen indhold"," =",10.5,"mg/l",2
"Rosenlund Sø - vandkemi","09.06.2020 12.00.00 +02:00","Sø",5,544567,6334756,"Oxygen indhold"," =",1.4,"mg/l",2
"GURRE SØ","24.11.1986 12.00.00 +01:00","Sø",3,717347,6215075,"Oxygen indhold"," =",11.7,"mg/l",2
"SØLLERØD SØ, kemi","27.05.1991 12.00.00 +02:00","Sø",1,718410,6190956,"Oxygenmætning"," =",167.4,"pct",2
"ENSØ, Vandkemi","13.04.2011 12.00.00 +02:00","Sø",0.78,518719,6199593,"Oxygenmætning"," =",101,"pct",2
"SORTEDAMSSØ NORD-BAS, kemi","23.06.2022 12.00.00 +02:00","Sø",1,724715.9998018866,6177956.003866275,"Oxygen indhold","",15.8,"mg/l",1
"SØHOLM SØ /001","26.09.2006 12.00.00 +02:00","Sø",2,571863,6125861,"Oxygen indhold"," =",9.6,"mg/l",2
"VESTERBORG SØ, kemi","04.08.2009 12.00.00 +02:00","Sø",2,645924,6082133,"Oxygenmætning"," =",89.71,"pct",2
"VOMME SØ ST 2 AMT","23.08.1995 12.00.00 +02:00","Sø",3.5,603570,6133607,"Oxygenmætning"," =",0,"pct",2
